episode,running_reward,tag
87680,0.999999999999999,biologica
88320,0.999999999999999,biologica
88960,0.999999999999999,biologica
89600,0.999999999999999,biologica
90240,0.999999999999999,biologica
90880,0.999999999999999,biologica
91520,0.999999999999999,biologica
92160,0.999999999999999,biologica
92800,0.999999999999999,biologica
93440,0.999999999999999,biologica
94080,0.999999999999999,biologica
94720,0.999999999999999,biologica
95360,0.999999999999999,biologica
96000,0.999999999999999,biologica
640,-0.02344011544825192,random
1280,0.3448228557779173,random
1920,0.6987119978193358,random
2560,0.8815771282866703,random
3200,0.9575470675995786,random
3840,0.9847812213694875,random
4480,0.9945442821047092,random
5120,0.9980442019379059,random
5760,0.9992988739276654,random
6400,0.9997486561732346,random
7040,0.9999098967764203,random
7680,0.999967699262783,random
8320,0.9999884206404244,random
8960,0.9999958489626017,random
9600,0.9999985119115294,random
10240,0.9999994665412318,random
10880,0.9999998087625415,random
11520,0.9999999314440633,random
12160,0.9999999754236618,random
12800,0.9999999911897287,random
13440,0.9999999968416418,random
14080,0.9999999988677731,random
14720,0.9999999995941127,random
15360,0.9999999998544952,random
16000,0.9999999999478385,random
16640,0.9999999999813007,random
17280,0.9999999999932966,random
17920,0.9999999999975969,random
18560,0.9999999999991386,random
19200,0.9999999999996912,random
19840,0.9999999999998892,random
20480,0.9999999999999604,random
21120,0.9999999999999858,random
21760,0.9999999999999949,random
22400,0.9999999999999981,random
23040,0.999999999999999,random
23680,0.999999999999999,random
24320,0.999999999999999,random
24960,0.999999999999999,random
25600,0.999999999999999,random
26240,0.999999999999999,random
26880,0.999999999999999,random
27520,0.999999999999999,random
28160,0.999999999999999,random
28800,0.999999999999999,random
29440,0.999999999999999,random
30080,0.999999999999999,random
30720,0.999999999999999,random
31360,0.999999999999999,random
32000,0.999999999999999,random
32640,0.999999999999999,random
33280,0.999999999999999,random
33920,0.999999999999999,random
34560,0.999999999999999,random
35200,0.999999999999999,random
35840,0.999999999999999,random
36480,0.999999999999999,random
37120,0.999999999999999,random
37760,0.999999999999999,random
38400,0.999999999999999,random
39040,0.999999999999999,random
39680,0.999999999999999,random
40320,0.999999999999999,random
40960,0.999999999999999,random
41600,0.999999999999999,random
42240,0.999999999999999,random
42880,0.999999999999999,random
