pre,post,weight
301314208,662103124,1
301314208,1140750808,6
301314208,754538763,6
301314208,642516892,3
301314208,487143497,4
301314208,5812983328,2
301314208,5813022267,1
301314208,5812981348,2
301314208,816263443,2
301314208,332344670,1
301314208,425445301,1
301314208,970777224,1
301314208,846270628,2
301314208,5813032245,9
301314208,508292573,2
301314208,829231385,1
301314208,363379387,1
301314208,798196366,2
301314208,1016118651,2
301314208,798533259,2
301314208,877982991,1
301314208,331662710,4
301314208,5813021023,1
301314208,798874090,1
301314208,5812983152,1
301314208,5813021397,1
301314208,5813022341,4
301314208,5812983544,1
301314208,769721865,3
301314208,5813061044,1
301314208,5813087831,1
301314208,860607480,1
301314208,328546871,1
301314208,5813058163,1
301314208,1450011431,2
301314208,940087822,1
301314208,5812983575,1
301314208,847254566,2
301314208,5812981965,2
301314208,767502579,4
301314208,1016118449,2
301314208,971118588,1
301314208,860607450,3
301314208,582148591,2
301314208,939742503,1
301314208,705091939,1
301314208,5813063449,3
301314208,1234386037,8
301314208,422725634,6
301314208,5812980965,2
301314208,363725096,1
301314208,753852396,2
301314208,971118202,1
301314208,301309622,4
301314208,1016123127,3
301314208,5813057573,1
301314208,660730340,1
301314208,5813093171,3
301314208,939729706,3
301314208,756567539,1
301314208,5812983745,1
301314208,860944055,1
301314208,891637860,3
301314208,5813019513,6
301314208,364070309,5
301314208,815921891,1
301314208,816219578,6
301314208,5813068729,10
301314208,847595624,1
301314208,5813020828,10
301314208,923018247,1
301314208,733036127,9
301314208,1016122913,4
301314208,394755742,1
301314208,394418743,1
301314208,5813027747,3
301314208,332003730,2
301314208,5812983006,2
301314208,798196461,1
301314208,301314150,1
301314208,394755645,3
301314208,848316930,4
301314208,877987539,6
301314208,5813021832,1
301314208,910386568,4
301314208,767502657,1
301314208,753489892,2
301314208,300972942,6
301314208,5812983298,4
301314208,5812980600,4
301314208,829572252,1
301314208,1328513713,3
301314208,5813021645,1
301314208,846620223,1
301314208,909704857,1
301314208,877313996,6
301314208,753852265,4
301314208,5813033259,3
301314208,815585355,5
301314208,754879354,3
301314208,877659673,1
301314208,767502639,8
301314208,5813032702,2
301314208,798192162,1
301314208,424767514,8
301314208,5813105172,5
301314208,5813019607,5
301314208,425790257,51
301314208,5813042659,10
301314208,829568160,2
301314208,816219675,3
301309622,5812982761,1
301309622,332344670,1
301309622,816263443,1
301309622,425768822,1
301309622,846611449,1
301309622,5901202076,1
301309622,5813019513,1
301309622,456820863,1
301309622,5812980222,1
301309622,5812980992,1
301309622,571424323,1
301309622,301314154,1
301309622,939734122,1
301309622,5812980590,1
301309622,5813032946,1
301309622,755173189,2
301309622,736126644,1
301309622,5812983579,1
301309622,756567539,1
301309622,767502667,1
301309622,487143497,1
301309622,332690153,1
301309622,767161677,1
301309622,5813057573,1
301309622,784844007,2
301309622,1233436426,1
301309622,5813063449,1
301309622,909704857,1
301309622,939733918,1
301309622,5812980597,1
301309622,569334986,1
301309622,5812982520,1
301309622,298595394,2
301309622,754538763,1
301309622,394755645,1
301309622,939738473,2
301309622,1140996390,2
301309622,5812983006,2
301309622,860266123,2
301309622,815926323,1
301309622,1046816660,2
301309622,798192162,1
301309622,860607450,2
301309622,846616006,2
301309622,5812983328,1
301309622,5813021999,1
301309622,332008063,1
301309622,5812983133,1
301309622,5812981109,1
301309622,5812983576,1
301309622,847254513,1
301309622,548552915,1
301309622,359598627,1
301309622,571424650,1
301309622,5812982760,1
301309622,815921891,1
301309622,331999156,1
301309622,5813022050,1
301309622,5813032245,1
301309622,923726321,1
301309622,798537456,1
301309622,754163207,1
301309622,939729706,1
301309622,784882707,1
301309622,829231385,1
301309622,784844112,2
301309622,798196366,1
301309622,332344592,1
301309622,910386568,1
301309622,5813021023,1
301309622,454252960,1
301309622,5813090605,1
301309622,5812983298,2
301309622,753489892,3
301309622,5813021446,2
301309622,818637585,1
301309622,551113395,3
301309622,755234235,2
301309622,736126717,1
301309622,735785639,1
301309622,707660374,1
301309622,848662441,2
301309622,1047489962,1
301309622,1047157958,2
301309622,331662710,3
301309622,705091769,1
301309622,477262101,1
301309622,5812980448,1
301309622,363375247,7
301309622,424767514,3
301309622,5812980802,2
301309622,363375408,3
301309622,847250148,2
301309622,970772961,1
301309622,363375475,2
301309622,1203066401,2
301309622,798537580,1
301309622,1047153433,2
301309622,971118588,2
301309622,970777224,3
301309622,860607455,2
301309622,785888696,2
301309622,1016118651,2
301309622,5812981553,1
301309622,643535876,3
301309622,939742503,3
301309622,1328513713,1
301309622,767502657,3
301309622,5812980379,7
301309622,1077851551,1
301309622,394755782,4
301309622,1046812283,1
301309622,332003730,2
301309622,733036127,7
301309622,1016122913,2
301309622,939738424,1
301309622,363038752,1
301309622,891642215,4
301309622,860607168,1
301309622,1109568718,1
301309622,891637860,2
301309622,5813105172,11
301309622,301314208,5
301309622,5813042659,5
301309622,1450011431,3
301309622,1077847238,2
301309622,755868550,2
301309622,424789697,3
301309622,860607480,3
301309622,877974490,1
301309622,5812980965,5
301309622,816219622,2
301309622,5813087831,2
301309622,972080542,1
301309622,393766777,4
301309622,860266404,2
301309622,1203066222,2
301309622,5813021292,1
301309622,1047183897,2
301309622,940083749,1
301309622,877987539,1
301309622,798537538,1
301309622,5813020828,8
301309622,5812980600,6
301309622,5813022341,9
301309622,753852265,2
301309622,363034501,3
301309622,5812983745,5
301309622,785232629,4
301309622,753852396,5
301309622,363379387,4
301309622,363384083,1
301309622,642516892,5
301309622,1419019956,1
301309622,300972942,10
301309622,660730340,3
301309622,5813019607,3
301309622,971118724,1
301309622,860607367,2
301309622,860261985,3
301309622,891978843,1
301309622,5813022352,1
301309622,394755742,6
301309622,329435390,1
301309622,877313996,4
301309622,847254566,1
301309622,422725634,8
301309622,5813021397,3
301309622,1141329053,4
301309622,507592981,1
301309622,1234386037,12
301309622,939742609,1
301309622,425790257,52
301309622,5813068729,10
301309622,692792746,3
301309622,1196854070,3
300972942,5812980799,1
300972942,425790257,1
300972942,1016459595,1
300972942,1418351262,1
300972942,482762280,1
300972942,5812980426,1
300972942,5813019607,2
300972942,5813021017,1
300972942,662414157,1
300972942,846611449,1
300972942,332344670,2
300972942,5812983455,1
300972942,363729312,1
300972942,662772373,1
300972942,909730911,1
300972942,456846996,2
300972942,5812980398,1
300972942,5812983345,1
